date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
14:58:44	315/315	---M--	404	error ('Not%20Found')	text/html	date:Sun,%2014%20Jun%202020%2017:58:43%20GMT	https://frix.themes95.com/robots.txt		(from )
14:58:45	24329/24329	---M-Z	200	added ('OK')	text/html	date:Sat,%2015%20Apr%202017%2010:07:00%20GMT	https://frix.themes95.com/	frix.themes95.com/index.html	(from )
14:58:45	559/559	---M--	200	added ('OK')	image/png	date:Thu,%2016%20Jun%202016%2000:52:12%20GMT	https://frix.themes95.com/images/favicon.png	frix.themes95.com/images/favicon.png	(from https://frix.themes95.com/)
14:58:46	15369/15369	---M--	200	added ('OK')	image/png	date:Thu,%2016%20Jun%202016%2001:02:34%20GMT	https://frix.themes95.com/images/apple-touch-icon-57x57.png	frix.themes95.com/images/apple-touch-icon-57x57.png	(from https://frix.themes95.com/)
14:58:47	15639/15639	---M--	200	added ('OK')	image/png	date:Thu,%2016%20Jun%202016%2001:02:04%20GMT	https://frix.themes95.com/images/apple-touch-icon-72x72.png	frix.themes95.com/images/apple-touch-icon-72x72.png	(from https://frix.themes95.com/)
14:58:48	16904/16904	---M--	200	added ('OK')	image/png	date:Thu,%2016%20Jun%202016%2001:01:24%20GMT	https://frix.themes95.com/images/apple-touch-icon-114x114.png	frix.themes95.com/images/apple-touch-icon-114x114.png	(from https://frix.themes95.com/)
14:58:50	133902/133902	---M--	200	added ('OK')	text/css	date:Thu,%2005%20Nov%202015%2009:35:08%20GMT	https://frix.themes95.com/css/bootstrap.css	frix.themes95.com/css/bootstrap.css	(from https://frix.themes95.com/)
14:58:50	53431/53431	---M--	200	added ('OK')	text/css	date:Sat,%2007%20Mar%202015%2011:17:02%20GMT	https://frix.themes95.com/css/animate.css	frix.themes95.com/css/animate.css	(from https://frix.themes95.com/)
14:58:51	7069/7069	---M--	200	added ('OK')	text/css	date:Wed,%2027%20May%202015%2013:40:44%20GMT	https://frix.themes95.com/css/et-line-icons.css	frix.themes95.com/css/et-line-icons.css	(from https://frix.themes95.com/)
14:58:52	23739/23739	---M--	200	added ('OK')	text/css	date:Tue,%2020%20Jan%202015%2008:52:32%20GMT	https://frix.themes95.com/css/font-awesome.min.css	frix.themes95.com/css/font-awesome.min.css	(from https://frix.themes95.com/)
14:58:53	14343/14343	---M--	200	added ('OK')	text/css	date:Mon,%2003%20Oct%202016%2014:09:50%20GMT	https://frix.themes95.com/css/style.css	frix.themes95.com/css/style.css	(from https://frix.themes95.com/)
14:58:54	5348/5348	---M--	200	added ('OK')	text/css	date:Mon,%2003%20Oct%202016%2014:10:14%20GMT	https://frix.themes95.com/css/responsive.css	frix.themes95.com/css/responsive.css	(from https://frix.themes95.com/)
14:58:55	1384/1384	---M--	200	added ('OK')	image/svg+xml	date:Tue,%2007%20Jul%202015%2003:40:32%20GMT	https://frix.themes95.com/images/loader.svg	frix.themes95.com/images/loader.svg	(from https://frix.themes95.com/)
14:58:56	24329/24329	---M-Z	200	added ('OK')	text/html	date:Sat,%2015%20Apr%202017%2010:07:00%20GMT	https://frix.themes95.com/index.html	frix.themes95.com/index-2.html	(from https://frix.themes95.com/)
